code,description_1,description_2,description_3,description_4,description_5
0041,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Shigellosis,Shigella flexneri,
0042,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Shigellosis,Shigella boydii,
0043,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Shigellosis,Shigella sonnei,
0048,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Shigellosis,Other specified shigella infections,
0049,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Shigellosis,"Shigellosis, unspecified",
005,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),,
0050,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),Staphylococcal food poisoning,
0051,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),Botulism food poisoning,
0052,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),Food poisoning due to Clostridium perfringens (C. welchii),
0053,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),Food poisoning due to other Clostridia,
0054,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),Food poisoning due to Vibrio parahaemolyticus,
0058,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),Other bacterial food poisoning,
00581,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),Other bacterial food poisoning,Food poisoning due to Vibrio vulnificus
00589,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),Other bacterial food poisoning,Other bacterial food poisoning
0059,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other food poisoning (bacterial),"Food poisoning, unspecified",
006,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,,
0060,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,Acute amebic dysentery without mention of abscess,
0061,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,Chronic intestinal amebiasis without mention of abscess,
0062,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,Amebic nondysenteric colitis,
0063,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,Amebic liver abscess,
0064,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,Amebic lung abscess,
0065,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,Amebic brain abscess,
0066,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,Amebic skin ulceration,
0068,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,Amebic infection of other sites,
0069,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis,"Amebiasis, unspecified",
007,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,,
0070,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,Balantidiasis,
0071,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,Giardiasis,
0072,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,Coccidiosis,
0073,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,Intestinal trichomoniasis,
0074,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,Cryptosporidiosis,
0075,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,Cyclosporiasis,
0078,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,Other specified protozoal intestinal diseases,
0079,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other protozoal intestinal diseases,Unspecified protozoal intestinal disease,
008,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,,
0080,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to escherichia coli [e. coli],
00800,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to escherichia coli [e. coli],"Intestinal infection due to E. coli, unspecified"
00801,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to escherichia coli [e. coli],Intestinal infection due to enteropathogenic E. coli
00802,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to escherichia coli [e. coli],Intestinal infection due to enterotoxigenic E. coli
00803,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to escherichia coli [e. coli],Intestinal infection due to enteroinvasive E. coli
00804,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to escherichia coli [e. coli],Intestinal infection due to enterohemorrhagic E. coli
00809,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to escherichia coli [e. coli],Intestinal infection due to other intestinal E. coli infections
0081,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to arizona group of paracolon bacilli,
0082,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to aerobacter aerogenes,
0083,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to proteus (mirabilis) (morganii),
0084,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to other specified bacteria,
00841,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to other specified bacteria,Intestinal infection due to staphylococcus
00842,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to other specified bacteria,Intestinal infection due to pseudomonas
00843,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to other specified bacteria,Intestinal infection due to campylobacter
00844,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to other specified bacteria,Intestinal infection due to yersinia enterocolitica
00845,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to other specified bacteria,Intestinal infection due to Clostridium difficile
00846,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to other specified bacteria,Intestinal infection due to other anaerobes
00847,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to other specified bacteria,Intestinal infection due to other gram-negative bacteria
00849,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Intestinal infection due to other specified bacteria,Intestinal infection due to other organisms
0085,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,"Bacterial enteritis, unspecified",
0086,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Enteritis due to specified virus,
00861,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Enteritis due to specified virus,Enteritis due to rotavirus
00862,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Enteritis due to specified virus,Enteritis due to adenovirus
00863,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Enteritis due to specified virus,Enteritis due to norwalk virus
00864,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Enteritis due to specified virus,Enteritis due to other small round viruses [SRV's]
00865,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Enteritis due to specified virus,Enteritis due to calicivirus
00866,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Enteritis due to specified virus,Enteritis due to astrovirus
00867,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Enteritis due to specified virus,Enteritis due to enterovirus nec
00869,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,Enteritis due to specified virus,Enteritis due to other viral enteritis
0088,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal infections due to other organisms,"Intestinal infection due to other organism, not elsewhere classified",
009,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Ill-defined intestinal infections,,
0090,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Ill-defined intestinal infections,"Infectious colitis, enteritis, and gastroenteritis",
0091,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Ill-defined intestinal infections,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",
0092,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Ill-defined intestinal infections,Infectious diarrhea,
0093,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Ill-defined intestinal infections,Diarrhea of presumed infectious origin,
010,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,,
0100,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous complex,
01000,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous complex,"Primary tuberculous infection, unspecified"
01001,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous complex,"Primary tuberculous infection, bacteriological or histological examination not done"
01002,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous complex,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)"
01003,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous complex,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
01004,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous complex,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01005,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous complex,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01006,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous complex,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0101,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Tuberculous pleurisy in primary progressive tuberculosis,
01010,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Tuberculous pleurisy in primary progressive tuberculosis,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified"
01011,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Tuberculous pleurisy in primary progressive tuberculosis,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
01012,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Tuberculous pleurisy in primary progressive tuberculosis,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
01013,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Tuberculous pleurisy in primary progressive tuberculosis,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01014,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Tuberculous pleurisy in primary progressive tuberculosis,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01015,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Tuberculous pleurisy in primary progressive tuberculosis,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01016,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Tuberculous pleurisy in primary progressive tuberculosis,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0108,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Other primary progressive tuberculosis,
01080,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Other primary progressive tuberculosis,"Other primary progressive tuberculosis, unspecified"
01081,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Other primary progressive tuberculosis,"Other primary progressive tuberculosis, bacteriological or histological examination not done"
01082,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Other primary progressive tuberculosis,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
01083,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Other primary progressive tuberculosis,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01084,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Other primary progressive tuberculosis,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01085,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Other primary progressive tuberculosis,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01086,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Other primary progressive tuberculosis,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0109,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous infection unspecified type,
01090,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous infection unspecified type,"Primary tuberculous infection, unspecified, unspecified"
01091,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous infection unspecified type,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done"
01092,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous infection unspecified type,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
01093,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous infection unspecified type,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
01094,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous infection unspecified type,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01095,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous infection unspecified type,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01096,Infectious And Parasitic Diseases,Tuberculosis,Primary tuberculous infection,Primary tuberculous infection unspecified type,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
011,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,,
0110,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung infiltrative,
01100,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung infiltrative,"Tuberculosis of lung, infiltrative, unspecified"
01101,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung infiltrative,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
01102,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung infiltrative,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
01103,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung infiltrative,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
01104,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung infiltrative,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01105,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung infiltrative,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01106,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung infiltrative,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0111,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung nodular,
01110,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung nodular,"Tuberculosis of lung, nodular, unspecified"
01111,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung nodular,"Tuberculosis of lung, nodular, bacteriological or histological examination not done"
01112,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung nodular,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
01113,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung nodular,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
01114,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung nodular,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01115,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung nodular,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01116,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung nodular,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0112,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung with cavitation,
01120,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung with cavitation,"Tuberculosis of lung with cavitation, unspecified"
01121,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung with cavitation,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
01122,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung with cavitation,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
01123,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung with cavitation,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
01124,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung with cavitation,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01125,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung with cavitation,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01126,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of lung with cavitation,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0113,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of bronchus,
01130,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of bronchus,"Tuberculosis of bronchus, unspecified"
01131,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of bronchus,"Tuberculosis of bronchus, bacteriological or histological examination not done"
01132,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of bronchus,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
01133,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of bronchus,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
01134,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of bronchus,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
01135,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of bronchus,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01136,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculosis of bronchus,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0114,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous fibrosis of lung,
01140,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous fibrosis of lung,"Tuberculous fibrosis of lung, unspecified"
01141,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous fibrosis of lung,"Tuberculous fibrosis of lung, bacteriological or histological examination not done"
01142,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous fibrosis of lung,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
01143,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous fibrosis of lung,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
01144,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous fibrosis of lung,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01145,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous fibrosis of lung,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01146,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous fibrosis of lung,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0115,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous bronchiectasis,
01150,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous bronchiectasis,"Tuberculous bronchiectasis, unspecified"
01151,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous bronchiectasis,"Tuberculous bronchiectasis, bacteriological or histological examination not done"
01152,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous bronchiectasis,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"
01153,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous bronchiectasis,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy"
01154,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous bronchiectasis,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01155,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous bronchiectasis,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01156,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous bronchiectasis,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0116,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous pneumonia (any form),
01160,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous pneumonia (any form),"Tuberculous pneumonia [any form], unspecified"
01161,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous pneumonia (any form),"Tuberculous pneumonia [any form], bacteriological or histological examination not done"
01162,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous pneumonia (any form),"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)"
01163,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous pneumonia (any form),"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy"
01164,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous pneumonia (any form),"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01165,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous pneumonia (any form),"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01166,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous pneumonia (any form),"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0117,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary tuberculosis,Tuberculous pneumothorax,
