code,description_1,description_2,description_3,description_4
0051,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Cardiovascular Procedures,"Implantation Of Cardiac Resynchronization Defibrillator, Total System [Crt-D]"
0052,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Cardiovascular Procedures,Implantation Or Replacement Of Transvenous Lead [Electrode] Into Left Ventricular Coronary Venous System
0053,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Cardiovascular Procedures,Implantation Or Replacement Of Cardiac Resynchronization Pacemaker Pulse Generator Only [Crt-P]
0054,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Cardiovascular Procedures,Implantation Or Replacement Of Cardiac Resynchronization Defibrillator Pulse Generator Device Only [Crt-D]
0055,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Cardiovascular Procedures,Insertion Of Drug-Eluting Non-Coronary Artery Stent(s)
0056,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Cardiovascular Procedures,Insertion Or Replacement Of Implantable Pressure Sensor With Lead For Intracardiac Or Great Vessel Hemodynamic Monitoring
0057,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Cardiovascular Procedures,Implantation Or Replacement Of Subcutaneous Device For Intracardiac Hemodynamic Monitoring
0058,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Cardiovascular Procedures,Insertion Of Intra-Aneurysm Sac Pressure Monitoring Device
0059,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Cardiovascular Procedures,Intravascular Pressure Measurement Of Coronary Arteries
006,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Procedures On Blood Vessels,
0060,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Procedures On Blood Vessels,Insertion Of Drug-Eluting Stent(s) Of Superficial Femoral Artery
0061,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Procedures On Blood Vessels,Percutaneous Angioplasty Of Extracranial Vessel(s)
0062,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Procedures On Blood Vessels,Percutaneous Angioplasty Of Intracranial Vessel(s)
0063,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Procedures On Blood Vessels,Percutaneous Insertion Of Carotid Artery Stent(s)
0064,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Procedures On Blood Vessels,Percutaneous Insertion Of Other Extracranial Artery Stent(s)
0065,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Procedures On Blood Vessels,Percutaneous Insertion Of Intracranial Vascular Stent(s)
0066,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Procedures On Blood Vessels,Percutaneous Transluminal Coronary Angioplasty [Ptca]
0067,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Procedures On Blood Vessels,Intravascular Pressure Measurement Of Intrathoracic Arteries
0068,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Procedures On Blood Vessels,Intravascular Pressure Measurement Of Peripheral Arteries
0069,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Procedures On Blood Vessels,"Intravascular Pressure Measurement, Other Specified And Unspecified Vessels"
007,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Hip Procedures,
0070,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Hip Procedures,"Revision Of Hip Replacement, Both Acetabular And Femoral Components"
0071,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Hip Procedures,"Revision Of Hip Replacement, Acetabular Component"
0072,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Hip Procedures,"Revision Of Hip Replacement, Femoral Component"
0073,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Hip Procedures,"Revision Of Hip Replacement, Acetabular Liner And/Or Femoral Head Only"
0074,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Hip Procedures,"Hip Replacement Bearing Surface, Metal On Polyethylene"
0075,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Hip Procedures,"Hip Replacement Bearing Surface, Metal-On-Metal"
0076,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Hip Procedures,"Hip Replacement Bearing Surface, Ceramic-On-Ceramic"
0077,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Hip Procedures,"Hip Replacement Bearing Surface, Ceramic-On-Polyethylene"
008,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Knee Procedures,
0080,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Knee Procedures,"Revision Of Knee Replacement, Total (All Components)"
0081,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Knee Procedures,"Revision Of Knee Replacement, Tibial Component"
0082,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Knee Procedures,"Revision Of Knee Replacement, Femoral Component"
0083,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Knee Procedures,"Revision Of Knee Replacement, Patellar Component"
0084,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Knee Procedures,"Revision Of Total Knee Replacement, Tibial Insert (Liner)"
0085,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Knee Procedures,"Resurfacing Hip, Total, Acetabulum And Femoral Head"
0086,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Knee Procedures,"Resurfacing Hip, Partial, Femoral Head"
0087,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Knee Procedures,"Resurfacing Hip, Partial, Acetabulum"
009,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Procedures And Interventions,
0091,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Procedures And Interventions,Transplant From Live Related Donor
0092,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Procedures And Interventions,Transplant From Live Non-Related Donor
0093,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Procedures And Interventions,Transplant From Cadaver
0094,"Procedures And Interventions , Not Elsewhere Classified","Procedures And Interventions, Not Elsewhere Classified",Other Procedures And Interventions,Intra-Operative Neurophysiologic Monitoring
01,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",,
010,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Cranial Puncture,
0101,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Cranial Puncture,Cisternal Puncture
0102,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Cranial Puncture,Ventriculopuncture Through Previously Implanted Catheter
0109,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Cranial Puncture,Other Cranial Puncture
011,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges","Diagnostic Procedures On Skull, Brain, And Cerebral Meninges",
0110,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges","Diagnostic Procedures On Skull, Brain, And Cerebral Meninges",Intracranial Pressure Monitoring
0111,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges","Diagnostic Procedures On Skull, Brain, And Cerebral Meninges",Closed [Percutaneous] [Needle] Biopsy Of Cerebral Meninges
0112,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges","Diagnostic Procedures On Skull, Brain, And Cerebral Meninges",Open Biopsy Of Cerebral Meninges
0113,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges","Diagnostic Procedures On Skull, Brain, And Cerebral Meninges",Closed [Percutaneous] [Needle] Biopsy Of Brain
0114,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges","Diagnostic Procedures On Skull, Brain, And Cerebral Meninges",Open Biopsy Of Brain
0115,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges","Diagnostic Procedures On Skull, Brain, And Cerebral Meninges",Biopsy Of Skull
0116,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges","Diagnostic Procedures On Skull, Brain, And Cerebral Meninges",Intracranial Oxygen Monitoring
0117,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges","Diagnostic Procedures On Skull, Brain, And Cerebral Meninges",Brain Temperature Monitoring
0118,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges","Diagnostic Procedures On Skull, Brain, And Cerebral Meninges",Other Diagnostic Procedures On Brain And Cerebral Meninges
0119,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges","Diagnostic Procedures On Skull, Brain, And Cerebral Meninges",Other Diagnostic Procedures On Skull
012,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Craniotomy And Craniectomy,
0120,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Craniotomy And Craniectomy,Cranial Implantation Or Replacement Of Neurostimulator Pulse Generator
0121,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Craniotomy And Craniectomy,Incision And Drainage Of Cranial Sinus
0122,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Craniotomy And Craniectomy,Removal Of Intracranial Neurostimulator
0123,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Craniotomy And Craniectomy,Reopening Of Craniotomy Site
0124,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Craniotomy And Craniectomy,Other Craniotomy
0125,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Craniotomy And Craniectomy,Other Craniectomy
0126,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Craniotomy And Craniectomy,Insertion Of Catheter Into Cranial Cavity
0127,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Craniotomy And Craniectomy,Removal Of Catheter From Cranial Cavity
0128,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Craniotomy And Craniectomy,Placement Of Intracerebral Catheter(s) Via Burr Hole(s)
0129,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Craniotomy And Craniectomy,Removal Of Cranial Neurostimulator Pulse Generator
013,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Incision Of Brain And Cerebral Meninges,
0131,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Incision Of Brain And Cerebral Meninges,Incision Of Cerebral Meninges
0132,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Incision Of Brain And Cerebral Meninges,Lobotomy And Tractotomy
0139,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Incision Of Brain And Cerebral Meninges,Other Incision Of Brain
014,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Operations On Thalamus And Globus Pallidus,
0141,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Operations On Thalamus And Globus Pallidus,Operations On Thalamus
0142,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Operations On Thalamus And Globus Pallidus,Operations On Globus Pallidus
015,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Other Excision Or Destruction Of Brain And Meninges,
0151,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Other Excision Or Destruction Of Brain And Meninges,Excision Of Lesion Or Tissue Of Cerebral Meninges
0152,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Other Excision Or Destruction Of Brain And Meninges,Hemispherectomy
0153,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Other Excision Or Destruction Of Brain And Meninges,Lobectomy Of Brain
0159,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Other Excision Or Destruction Of Brain And Meninges,Other Excision Or Destruction Of Lesion Or Tissue Of Brain
016,Operations On The Nervous System,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",Excision Of Lesion Of Skull,
02,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",,
020,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Cranioplasty,
0201,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Cranioplasty,Opening Of Cranial Suture
0202,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Cranioplasty,Elevation Of Skull Fracture Fragments
0203,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Cranioplasty,Formation Of Cranial Bone Flap
0204,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Cranioplasty,Bone Graft To Skull
0205,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Cranioplasty,Insertion Of Skull Plate
0206,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Cranioplasty,Other Cranial Osteoplasty
0207,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Cranioplasty,Removal Of Skull Plate
021,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Repair Of Cerebral Meninges,
0211,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Repair Of Cerebral Meninges,Simple Suture Of Dura Mater Of Brain
0212,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Repair Of Cerebral Meninges,Other Repair Of Cerebral Meninges
0213,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Repair Of Cerebral Meninges,Ligation Of Meningeal Vessel
0214,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Repair Of Cerebral Meninges,Choroid Plexectomy
022,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Ventriculostomy,
0221,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Ventriculostomy,Insertion Or Replacement Of External Ventricular Drain [Evd]
0222,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Ventriculostomy,Intracranial Ventricular Shunt Or Anastomosis
023,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Extracranial Ventricular Shunt,
0231,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Extracranial Ventricular Shunt,Ventricular Shunt To Structure In Head And Neck
0232,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Extracranial Ventricular Shunt,Ventricular Shunt To Circulatory System
0233,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Extracranial Ventricular Shunt,Ventricular Shunt To Thoracic Cavity
0234,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Extracranial Ventricular Shunt,Ventricular Shunt To Abdominal Cavity And Organs
0235,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Extracranial Ventricular Shunt,Ventricular Shunt To Urinary System
0239,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges",Extracranial Ventricular Shunt,Ventricular Shunt To Extracranial Site Nec
024,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges","Revision, Removal, And Irrigation Of Ventricular Shunt",
0241,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges","Revision, Removal, And Irrigation Of Ventricular Shunt",Irrigation And Exploration Of Ventricular Shunt
0242,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges","Revision, Removal, And Irrigation Of Ventricular Shunt",Replacement Of Ventricular Shunt
0243,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges","Revision, Removal, And Irrigation Of Ventricular Shunt",Removal Of Ventricular Shunt
029,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges","Other Operations On Skull, Brain, And Cerebral Meninges",
0291,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges","Other Operations On Skull, Brain, And Cerebral Meninges",Lysis Of Cortical Adhesions
0292,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges","Other Operations On Skull, Brain, And Cerebral Meninges",Repair Of Brain
0293,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges","Other Operations On Skull, Brain, And Cerebral Meninges",Implantation Of Intracranial Neurostimulator
0294,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges","Other Operations On Skull, Brain, And Cerebral Meninges",Insert/Replace Skull Tongs Or Halo Traction Device
0295,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges","Other Operations On Skull, Brain, And Cerebral Meninges",Removal Of Skull Tongs Or Halo Traction Device
0296,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges","Other Operations On Skull, Brain, And Cerebral Meninges",Insertion Of Sphenoidal Electrodes
0299,Operations On The Nervous System,"Other Operations On Skull, Brain, And Cerebral Meninges","Other Operations On Skull, Brain, And Cerebral Meninges",Other
03,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,,
030,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Exploration And Decompression Of Spinal Canal Structures,
0301,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Exploration And Decompression Of Spinal Canal Structures,Removal Of Foreign Body From Spinal Canal
0302,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Exploration And Decompression Of Spinal Canal Structures,Reopening Of Laminectomy Site
0309,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Exploration And Decompression Of Spinal Canal Structures,Other Exploration And Decompression Of Spinal Canal
031,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Division Of Intraspinal Nerve Root,
032,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Chordotomy,
0321,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Chordotomy,Percutaneous Chordotomy
0329,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Chordotomy,Other Chordotomy
033,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Diagnostic Procedures On Spinal Cord And Spinal Canal Structures,
0331,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Diagnostic Procedures On Spinal Cord And Spinal Canal Structures,Spinal Tap
0332,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Diagnostic Procedures On Spinal Cord And Spinal Canal Structures,Biopsy Of Spinal Cord Or Spinal Meninges
0339,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Diagnostic Procedures On Spinal Cord And Spinal Canal Structures,Other Diagnostic Procedures On Spinal Cord And Spinal Canal Structures
034,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Excision Or Destruction Of Lesion Of Spinal Cord Or Spinal Meninges,
035,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Plastic Operations On Spinal Cord Structures,
0351,Operations On The Nervous System,Operations On Spinal Cord And Spinal Canal Structures,Plastic Operations On Spinal Cord Structures,Repair Of Spinal Meningocele
